Barcode,Genotype,Assay Date,Experimenter,Flow Cytometer,Total Events (RBC),NCE,RETs_CD71postive,Per_RETs,Mn-RET,Mn_NCE,Per_MN-NCE
M00302326,Mks1/+,2009-11-09,RM,FC500,1.55E+05,1.51E+05,3461,2.29,35,339,0.22
M00302325,Mks1/+,2009-11-09,RM,FC500,1.55E+05,1.51E+05,3612,2.4,36,347,0.23
M00302331,Mks1/+,2009-11-09,RM,FC500,1.64E+05,1.60E+05,3567,2.23,53,383,0.24
M00310517,Mtfmt/+,2009-11-09,RM,FC500,1.50E+05,1.46E+05,3463,2.37,51,298,0.2
M00310519,Mtfmt/+,2009-11-09,RM,FC500,1.54E+05,1.50E+05,3127,2.08,38,309,0.21
M00310520,Mtfmt/+,2009-11-09,RM,FC500,1.49E+05,1.46E+05,2694,1.84,30,339,0.23
M00310518,Mtfmt/+,2009-11-09,RM,FC500,1.49E+05,1.45E+05,3817,2.63,51,361,0.25
M00182914,Ncaph2/+,2009-11-09,RM,FC500,1.45E+05,1.42E+05,3126,2.2,42,274,0.19
M00182916,Ncaph2/+,2009-11-09,RM,FC500,1.50E+05,1.48E+05,2314,1.57,48,325,0.22
M00182915,Ncaph2/+,2009-11-09,RM,FC500,1.53E+05,1.50E+05,2712,1.81,41,446,0.3
M00178062,Slc35f1/Slc35f1,2009-11-09,RM,FC500,1.69E+05,1.64E+05,4281,2.61,37,283,0.17
M00177996,Slc35f1/Slc35f1,2009-11-09,RM,FC500,1.66E+05,1.63E+05,2564,1.58,36,412,0.25
M00217590,Slx4/Slx4,2009-11-09,RM,FC500,1.63E+05,1.59E+05,2963,1.86,28,760,0.47
M00217384,Slx4/Slx4,2009-11-09,RM,FC500,1.62E+05,1.58E+05,3263,2.06,39,696,0.44
M00217387,Slx4/Slx4,2009-11-09,RM,FC500,1.69E+05,1.63E+05,4711,2.89,53,814,0.5
M00271130,Slx4/Slx4,2009-11-09,RM,FC500,1.75E+05,1.70E+05,3489,2.05,54,1133,0.66
M00271151,Slx4/Slx4,2009-11-09,RM,FC500,1.67E+05,1.63E+05,3132,1.93,40,772,0.47
M00271176,Slx4/Slx4,2009-11-09,RM,FC500,1.73E+05,1.68E+05,3809,2.26,49,879,0.52
M00309393,Snapc4/+,2009-11-09,RM,FC500,1.45E+05,1.42E+05,2832,1.99,28,241,0.17
M00309394,Snapc4/+,2009-11-09,RM,FC500,1.71E+05,1.67E+05,3852,2.31,23,360,0.22
M00305847,Snapc4/+,2009-11-09,RM,FC500,1.56E+05,1.52E+05,3942,2.6,35,288,0.19
M00306361,Stx8/Stx8,2009-11-09,RM,FC500,1.71E+05,1.63E+05,7241,4.44,30,303,0.19
M00306352,Stx8/Stx8,2009-11-09,RM,FC500,1.70E+05,1.64E+05,5591,3.42,33,365,0.22
M00306359,Stx8/Stx8,2009-11-09,RM,FC500,1.71E+05,1.63E+05,7141,4.38,26,368,0.23
M00306358,Stx8/Stx8,2009-11-09,RM,FC500,1.78E+05,1.71E+05,6747,3.95,36,399,0.23
